iter	Passed	Remaining
0	67	67043
1	70	35408
2	73	24534
3	76	18985
4	78	15581
5	80	13358
6	82	11748
7	85	10588
8	87	9645
9	90	8970
10	92	8333
11	94	7803
12	101	7721
13	103	7316
14	106	6970
15	108	6666
16	111	6421
17	114	6269
18	117	6075
19	122	5992
20	127	5956
21	132	5903
22	142	6044
23	144	5888
24	147	5756
25	149	5617
26	152	5485
27	154	5360
28	156	5242
29	159	5149
30	161	5044
31	164	4964
32	166	4883
33	168	4799
34	171	4715
35	173	4639
36	175	4579
37	180	4566
38	182	4498
39	184	4435
40	187	4385
41	191	4362
42	193	4312
43	195	4257
44	198	4216
45	201	4174
46	204	4138
47	206	4103
48	209	4064
49	211	4025
50	230	4281
51	258	4716
52	264	4725
53	266	4676
54	269	4623
55	276	4668
56	279	4617
57	282	4587
58	285	4560
59	311	4872
60	314	4847
61	320	4849
62	324	4831
63	327	4787
64	329	4739
65	332	4700
66	334	4659
67	339	4654
68	342	4616
69	344	4575
70	346	4533
71	367	4741
72	373	4741
73	375	4702
74	377	4661
75	380	4625
76	382	4580
77	385	4555
78	387	4513
79	388	4470
80	390	4428
81	391	4387
82	394	4363
83	399	4361
84	403	4343
85	405	4312
86	407	4279
87	409	4247
88	411	4217
89	418	4227
90	419	4192
91	421	4159
92	423	4126
93	424	4093
94	426	4061
95	427	4030
96	432	4030
97	434	4000
98	441	4022
99	446	4019
100	448	3989
101	449	3959
102	451	3930
103	452	3901
104	454	3874
105	456	3847
106	459	3833
107	460	3807
108	462	3779
109	464	3755
110	465	3729
111	467	3709
112	470	3691
113	471	3668
114	473	3644
115	475	3623
116	477	3600
117	478	3576
118	480	3554
119	481	3531
120	485	3528
121	487	3510
122	489	3489
123	492	3476
124	493	3457
125	495	3438
126	497	3423
127	501	3415
128	503	3400
129	526	3524
130	528	3507
131	530	3491
132	533	3474
133	540	3490
134	542	3474
135	544	3461
136	546	3445
137	549	3429
138	557	3451
139	568	3491
140	576	3511
141	579	3500
142	581	3484
143	583	3469
144	586	3460
145	588	3445
146	591	3430
147	593	3418
148	596	3405
149	598	3391
150	606	3408
151	609	3399
152	617	3419
153	620	3409
154	623	3397
155	625	3383
156	628	3374
157	632	3368
158	636	3364
159	638	3351
160	640	3337
161	642	3323
162	648	3328
163	651	3322
164	659	3335
165	663	3332
166	667	3329
167	669	3316
168	671	3303
169	673	3289
170	677	3282
171	680	3273
172	683	3268
173	685	3255
174	687	3242
175	690	3230
176	692	3219
177	694	3207
178	696	3196
179	699	3186
180	701	3175
181	712	3203
182	717	3201
183	719	3189
184	731	3224
185	734	3215
186	737	3204
187	766	3308
188	768	3296
189	770	3286
190	774	3278
191	776	3266
192	778	3254
193	780	3241
194	784	3239
195	786	3228
196	789	3219
197	792	3211
198	795	3200
199	797	3188
200	799	3177
201	801	3165
202	803	3154
203	805	3144
204	808	3133
205	810	3122
206	812	3111
207	816	3109
208	818	3099
209	821	3090
210	823	3080
211	825	3069
212	827	3058
213	830	3051
214	833	3042
215	835	3032
216	838	3023
217	842	3021
218	844	3011
219	846	3001
220	849	2993
221	851	2985
222	854	2976
223	856	2968
224	858	2958
225	861	2949
226	864	2943
227	866	2933
228	868	2924
229	871	2917
230	873	2908
231	875	2898
232	877	2889
233	880	2881
234	883	2876
235	886	2871
236	900	2897
237	903	2891
238	906	2884
239	908	2876
240	913	2875
241	917	2873
242	927	2890
243	951	2947
244	954	2940
245	965	2958
246	968	2952
247	970	2943
248	985	2972
249	998	2994
250	1059	3160
251	1063	3157
252	1065	3146
253	1068	3137
254	1070	3126
255	1073	3119
256	1075	3109
257	1077	3099
258	1080	3090
259	1082	3081
260	1110	3142
261	1112	3133
262	1114	3124
263	1116	3114
264	1119	3104
265	1121	3094
266	1123	3084
267	1125	3074
268	1127	3063
269	1129	3054
270	1131	3044
271	1136	3042
272	1141	3039
273	1143	3030
274	1146	3021
275	1150	3018
276	1153	3009
277	1156	3003
278	1157	2992
279	1159	2981
280	1160	2970
281	1163	2961
282	1167	2956
283	1169	2948
284	1171	2939
285	1173	2929
286	1174	2918
287	1176	2908
288	1177	2897
289	1179	2887
290	1182	2880
291	1184	2872
292	1186	2862
293	1187	2852
294	1189	2841
295	1190	2831
296	1192	2821
297	1194	2813
298	1195	2803
299	1198	2795
300	1199	2786
301	1201	2776
302	1202	2766
303	1204	2757
304	1205	2747
305	1207	2737
306	1208	2728
307	1210	2719
308	1212	2711
309	1214	2702
310	1215	2693
311	1217	2684
312	1218	2674
313	1220	2666
314	1221	2657
315	1223	2648
316	1225	2639
317	1226	2630
318	1228	2623
319	1230	2614
320	1231	2605
321	1233	2596
322	1234	2588
323	1236	2579
324	1237	2570
325	1240	2564
326	1242	2557
327	1244	2550
328	1246	2543
329	1249	2535
330	1251	2528
331	1253	2521
332	1255	2514
333	1257	2506
334	1259	2500
335	1262	2494
336	1264	2488
337	1268	2484
338	1269	2476
339	1272	2469
340	1274	2463
341	1276	2456
342	1279	2450
343	1282	2446
344	1284	2438
345	1287	2434
346	1292	2432
347	1294	2425
348	1295	2417
349	1297	2409
350	1298	2401
351	1300	2393
352	1304	2390
353	1307	2386
354	1309	2379
355	1311	2371
356	1315	2369
357	1317	2361
358	1318	2354
359	1320	2348
360	1322	2341
361	1325	2335
362	1326	2328
363	1328	2320
364	1329	2313
365	1332	2308
366	1334	2301
367	1336	2295
368	1338	2289
369	1340	2282
370	1341	2275
371	1344	2269
372	1345	2261
373	1347	2254
374	1348	2247
375	1350	2240
376	1352	2234
377	1354	2228
378	1355	2221
379	1358	2215
380	1360	2209
381	1362	2204
382	1364	2198
383	1366	2192
384	1369	2187
385	1371	2181
386	1372	2174
387	1374	2167
388	1375	2161
389	1377	2154
390	1379	2148
391	1381	2142
392	1383	2136
393	1385	2131
394	1387	2125
395	1389	2120
396	1391	2114
397	1393	2108
398	1395	2102
399	1397	2096
400	1401	2092
401	1403	2087
402	1406	2082
403	1408	2078
404	1413	2076
405	1416	2072
406	1418	2066
407	1420	2061
408	1422	2055
409	1425	2051
410	1428	2046
411	1432	2044
412	1435	2040
413	1437	2035
414	1439	2029
415	1441	2023
416	1443	2017
417	1446	2013
418	1448	2008
419	1450	2003
420	1453	1999
421	1455	1993
422	1456	1987
423	1458	1981
424	1462	1978
425	1465	1974
426	1467	1968
427	1468	1962
428	1470	1956
429	1471	1951
430	1473	1945
431	1475	1940
432	1477	1934
433	1479	1929
434	1481	1923
435	1482	1917
436	1484	1912
437	1485	1906
438	1487	1900
439	1488	1894
440	1489	1888
441	1492	1883
442	1493	1878
443	1495	1872
444	1496	1867
445	1498	1861
446	1499	1855
447	1501	1850
448	1503	1845
449	1506	1841
450	1508	1836
